Name,CSD_Refcode,Database_Acronym,Generic_Identity,Calculation_Type,Density,GSA,VSA,VF,PV,LCD,PLD,Source,Crystal_Structure_File_Type,Crystal_Structure_Availability,matched_not_open_in_col,OOD_flag
BUDDIO_CoRE,BUDDIO,CoRE,Real,Crystallographic properties,1.49438,0.0,0.0,0.0951956,0.172625,3.29205,2.84666,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
GAGXAP_CoRE,GAGXAP,CoRE,Real,Crystallographic properties,1.46138,0.0,0.0,0.308264,0.327267,5.16363,2.84597,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
PILWIS_CoRE,PILWIS,CoRE,Real,Crystallographic properties,1.37798,0.0,0.0,0.234217,0.333197,4.27196,2.84596,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
TICPOL_CoRE,TICPOL,CoRE,Real,Crystallographic properties,1.37072,0.0,0.0,0.193531,0.348488,4.32147,2.84557,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
EMAFII_CoRE,EMAFII,CoRE,Real,Crystallographic properties,1.29853,0.0,0.0,0.278697,0.354065,7.06101,2.84508,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
HIXDOH01_CoRE,HIXDOH01,CoRE,Real,Crystallographic properties,1.85173,0.0,0.0,0.372621,0.272991,5.14922,2.8443,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
XUBJAF_CoRE,XUBJAF,CoRE,Real,Crystallographic properties,2.21573,0.0,0.0,0.11616,0.194078,3.31207,2.84382,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
COXQUB_CoRE,COXQUB,CoRE,Real,Crystallographic properties,1.72439,0.0,0.0,0.195338,0.248144,3.99789,2.84336,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
NIKJUN_CoRE,NIKJUN,CoRE,Real,Crystallographic properties,1.37868,0.0,0.0,0.426427,0.360034,5.97101,2.84267,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
XUBJAF01_CoRE,XUBJAF01,CoRE,Real,Crystallographic properties,2.1992,0.0,0.0,0.116164,0.198473,3.31847,2.84202,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
RAGYAB_CoRE,RAGYAB,CoRE,Real,Crystallographic properties,1.85769,0.0,0.0,0.368945,0.26949,4.47073,2.84112,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
SUJQOE_CoRE,SUJQOE,CoRE,Real,Crystallographic properties,1.20423,0.0,0.0,0.288608,0.403738,4.04841,2.83947,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
KAVREG_CoRE,KAVREG,CoRE,Real,Crystallographic properties,1.82149,0.0,0.0,0.257199,0.244009,5.54039,2.83796,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
OMAXEG_CoRE,OMAXEG,CoRE,Real,Crystallographic properties,1.53721,0.0,0.0,0.335666,0.328079,4.68283,2.83779,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
IFUDAO_CoRE,IFUDAO,CoRE,Real,Crystallographic properties,1.77234,0.0,0.0,0.118087,0.260953,2.97895,2.83776,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
IPOWOA_CoRE,IPOWOA,CoRE,Real,Crystallographic properties,1.73574,0.0,0.0,0.180678,0.270364,4.16556,2.83702,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
PASKAX_CoRE,PASKAX,CoRE,Real,Crystallographic properties,1.51238,0.0,0.0,0.145545,0.261405,4.533,2.83696,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
OKILIE_CoRE,OKILIE,CoRE,Real,Crystallographic properties,1.3761,0.0,0.0,0.222342,0.328567,3.61859,2.83677,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
PASNEE_CoRE,PASNEE,CoRE,Real,Crystallographic properties,1.74103,0.0,0.0,0.180707,0.269055,4.15721,2.83675,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
FEXHOG_CoRE,FEXHOG,CoRE,Real,Crystallographic properties,1.79558,0.0,0.0,0.0627747,0.201158,3.1244,2.83675,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
HARNAR_CoRE,HARNAR,CoRE,Real,Crystallographic properties,1.73333,0.0,0.0,0.2136,0.261228,4.02535,2.83611,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
AQALIO_CoRE,AQALIO,CoRE,Real,Crystallographic properties,2.20004,0.0,0.0,0.228275,0.211061,3.6362,2.83608,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
AKUHOD_CoRE,AKUHOD,CoRE,Real,Crystallographic properties,2.22877,0.0,0.0,0.115705,0.195189,3.30143,2.83606,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
QALNIA_CoRE,QALNIA,CoRE,Real,Crystallographic properties,1.54295,0.0,0.0,0.33005,0.325373,3.89192,2.83449,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
KOMHAW_CoRE,KOMHAW,CoRE,Real,Crystallographic properties,1.67254,0.0,0.0,0.290393,0.296229,4.30719,2.83423,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
VIGRIO_CoRE,VIGRIO,CoRE,Real,Crystallographic properties,1.80361,0.0,0.0,0.12099,0.208716,3.48062,2.8339,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
SIZPAT_CoRE,SIZPAT,CoRE,Real,Crystallographic properties,1.7003,0.0,0.0,0.185635,0.234051,4.43551,2.83349,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
AQALOU_CoRE,AQALOU,CoRE,Real,Crystallographic properties,2.24292,0.0,0.0,0.227175,0.206251,3.62112,2.83349,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,0
