name,csd_refc,db_acr,gt,calc_type,Density,GSA,VSA,VF,PV,LCD,PLD,ug_at_tps,uv_at_tps,source,csft,csa,sample_weight_ug_at_tps,sample_weight_uv_at_tps
WECJAR_CoRE,WECJAR,CoRE,Real,Grand Canonical Monte Carlo,1.46,349.9,509.3,0.26,0.3,5.22,4.07,0.99,14.6,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
NERVEL_CoRE,NERVEL,CoRE,Real,Grand Canonical Monte Carlo,1.41,0.0,0.0,0.27,0.31,4.92,2.51,1.02,14.58,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
QARCET_CoRE,QARCET,CoRE,Real,Grand Canonical Monte Carlo,1.43,0.0,0.0,0.29,0.31,5.63,3.59,1.0,14.56,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
DALCEZ_CoRE,DALCEZ,CoRE,Real,Grand Canonical Monte Carlo,1.22,0.0,0.0,0.46,0.38,4.2,3.16,1.17,14.55,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
XOKHAH_CoRE,XOKHAH,CoRE,Real,Grand Canonical Monte Carlo,1.57,0.0,0.0,0.17,0.26,3.76,3.06,0.92,14.55,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
OBEPER_CoRE,OBEPER,CoRE,Real,Grand Canonical Monte Carlo,2.16,0.0,0.0,0.13,0.18,3.22,2.6,0.67,14.54,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
TESGOO_CoRE,TESGOO,CoRE,Real,Grand Canonical Monte Carlo,1.92,0.0,0.0,0.26,0.24,4.76,3.63,0.75,14.54,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
KEGYAX_CoRE,KEGYAX,CoRE,Real,Grand Canonical Monte Carlo,2.5,66.3,165.7,0.21,0.14,4.05,3.78,0.58,14.53,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
XINHOT_CoRE,XINHOT,CoRE,Real,Grand Canonical Monte Carlo,1.54,362.8,559.8,0.3,0.29,5.42,4.1,0.93,14.51,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
AMEJOS_CoRE,AMEJOS,CoRE,Real,Grand Canonical Monte Carlo,1.41,0.0,0.0,0.21,0.33,4.75,3.28,1.02,14.5,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
XEJJOM_CoRE,XEJJOM,CoRE,Real,Grand Canonical Monte Carlo,1.97,0.0,0.0,0.16,0.2,3.74,2.59,0.73,14.5,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
IFEPIT_CoRE,IFEPIT,CoRE,Real,Grand Canonical Monte Carlo,5.18,0.0,0.0,0.15,0.07,3.79,2.51,0.28,14.49,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
NAKNUK_CoRE,NAKNUK,CoRE,Real,Grand Canonical Monte Carlo,1.43,0.0,0.0,0.17,0.29,4.24,2.58,1.0,14.49,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
PEVLEJ_CoRE,PEVLEJ,CoRE,Real,Grand Canonical Monte Carlo,2.13,0.0,0.0,0.23,0.18,3.99,3.35,0.67,14.47,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
TEVZEA_CoRE,TEVZEA,CoRE,Real,Grand Canonical Monte Carlo,1.97,0.0,0.0,0.24,0.22,4.59,3.52,0.73,14.47,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
EWEWUZ_CoRE,EWEWUZ,CoRE,Real,Grand Canonical Monte Carlo,1.67,0.0,0.0,0.23,0.26,4.52,3.72,0.86,14.46,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,1.0
