Name,CSD Refcode,Database_Acronym,Generic Identity,Calculation Type,Density,GSA,VSA,VF,PV,LCD,PLD,Source,Crystal Structure File Type,Crystal Structure Availability,matched_not_open_in_col
EJOQUR_clean,EJOQUR,CoRE 2019,Real,Machine Learning,0.926552,2044.86,1894.67,0.6978,0.753115,11.95194,5.10518,DOI: 10.5281/zenodo.3530351,CIF (P1 Symmetry),Open Source,
SARPIL_clean,SARPIL,CoRE 2019,Real,Machine Learning,0.925107,3474.79,3214.55,0.7256,0.784342,6.09702,4.59857,DOI: 10.5281/zenodo.3541698,CIF (P1 Symmetry),Open Source,
OYAJAB02_clean,OYAJAB02,CoRE 2019,Real,Machine Learning,1.15395,1621.63,1871.28,0.6574,0.569694,10.62211,8.96363,DOI: 10.5281/zenodo.3541420,CIF (P1 Symmetry),Open Source,
BEPREV03_clean,BEPREV03,CoRE 2019,Real,Machine Learning,0.798706,3154.09,2519.19,0.64,0.801296,6.75186,5.16957,DOI: 10.5281/zenodo.3528885,CIF (P1 Symmetry),Open Source,
YATVUN_clean,YATVUN,CoRE 2019,Real,Machine Learning,0.903963,2091.55,1890.69,0.6694,0.740517,10.83921,9.14744,DOI: 10.5281/zenodo.3542292,CIF (P1 Symmetry),Open Source,
POXHER_clean,POXHER,CoRE 2019,Real,Machine Learning,0.809245,1840.81,1489.66,0.671,0.829168,13.61005,8.01869,DOI: 10.5281/zenodo.3535770,CIF (P1 Symmetry),Open Source,
MEFJOY_clean,MEFJOY,CoRE 2019,Real,Machine Learning,0.978068,2257.67,2208.16,0.6982,0.713857,13.35543,4.52002,DOI: 10.5281/zenodo.3534122,CIF (P1 Symmetry),Open Source,
KIRFIA_clean,KIRFIA,CoRE 2019,Real,Machine Learning,1.02515,3063.5,3140.54,0.6918,0.674829,5.7578,4.65199,DOI: 10.5281/zenodo.3533238,CIF (P1 Symmetry),Open Source,
YEDKUO_clean,YEDKUO,CoRE 2019,Real,Machine Learning,0.827487,3352.39,2774.06,0.6498,0.785269,6.88443,4.8384,DOI: 10.5281/zenodo.3539497,CIF (P1 Symmetry),Open Source,
AXINIF_CoRE,AXINIF,CoRE,Real,Crystallographic properties,0.750661,2627.25,1972.18,0.70704,0.909708,9.6188,8.65235,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
SOQSAU01_clean,SOQSAU01,CoRE 2019,Real,Machine Learning,0.851934,2580.83,2198.7,0.6972,0.818373,9.887,4.76966,DOI: 10.5281/zenodo.3537034,CIF (P1 Symmetry),Open Source,
IYUHOB_clean,IYUHOB,CoRE 2019,Real,Machine Learning,0.954465,2335.12,2228.79,0.6788,0.711184,9.27375,6.04055,DOI: 10.5281/zenodo.3540871,CIF (P1 Symmetry),Open Source,
NACXEX_clean,NACXEX,CoRE 2019,Real,Machine Learning,0.735224,2992.97,2200.51,0.6746,0.917543,7.72001,4.01771,DOI: 10.5281/zenodo.3534461,CIF (P1 Symmetry),Open Source,
YAYRAT_clean,YAYRAT,CoRE 2019,Real,Machine Learning,0.863424,3014.46,2602.75,0.6904,0.799607,6.10819,5.25433,DOI: 10.5281/zenodo.3539484,CIF (P1 Symmetry),Open Source,
HAWWOT_CoRE,HAWWOT,CoRE,Real,Crystallographic properties,1.0177,2180.39,2218.98,0.692209,0.684882,7.05521,6.3882,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
WECBEN_clean,WECBEN,CoRE 2019,Real,Machine Learning,0.992115,3143.89,3119.1,0.6996,0.70516,6.503,4.33861,DOI: 10.5281/zenodo.3538526,CIF (P1 Symmetry),Open Source,
DIBQEM_CoRE,DIBQEM,CoRE,Real,Crystallographic properties,0.80886,0.0,0.0,0.689811,0.838706,16.82847,3.4822,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
SAHXAD_clean,SAHXAD,CoRE 2019,Real,Machine Learning,0.88875,2885.23,2564.25,0.6954,0.782447,7.24131,5.09073,DOI: 10.5281/zenodo.3536741,CIF (P1 Symmetry),Open Source,
JODGOA_clean,JODGOA,CoRE 2019,Real,Machine Learning,0.759869,2208.09,1677.86,0.6772,0.891207,10.46102,9.40335,DOI: 10.5281/zenodo.3540944,CIF (P1 Symmetry),Open Source,
IDIWUN_clean,IDIWUN,CoRE 2019,Real,Machine Learning,0.874765,1926.45,1685.19,0.684,0.781924,10.73827,9.8398,DOI: 10.5281/zenodo.3532239,CIF (P1 Symmetry),Open Source,
