Name ,CSD refc. ,DB Acr. ,GT ,Calc. Type ,Density ,GSA ,VSA ,VF ,PV ,LCD ,PLD ,UG at PS ,UV at PS ,Source ,CSFT ,CSA 
IKETEY_CoRE,IKETEY,CoRE,Real,Grand Canonical Monte Carlo,1.62,808.4,1306.2,0.48,0.34,5.51,4.26,0.35,5.97,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
UKUBUY_CoRE,UKUBUY,CoRE,Real,Grand Canonical Monte Carlo,1.03,1030.9,1062.4,0.52,0.52,7.25,4.49,0.55,5.97,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
XOQXIL_CoRE,XOQXIL,CoRE,Real,Grand Canonical Monte Carlo,1.05,1255.2,1320.3,0.44,0.52,5.57,4.25,0.54,5.97,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
IXUREZ_CoRE,IXUREZ,CoRE,Real,Grand Canonical Monte Carlo,1.17,466.2,545.1,0.48,0.47,5.49,3.77,0.49,5.96,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
NIHBIQ01_CoRE,NIHBIQ01,CoRE,Real,Grand Canonical Monte Carlo,1.65,408.6,665.4,0.3,0.29,5.38,3.95,0.35,5.96,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
NIHBIQ02_CoRE,NIHBIQ02,CoRE,Real,Grand Canonical Monte Carlo,1.63,362.9,605.9,0.31,0.3,5.25,3.89,0.36,5.96,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
PUWDEQ_CoRE,PUWDEQ,CoRE,Real,Grand Canonical Monte Carlo,0.96,1455.3,1396.3,0.49,0.59,5.82,4.49,0.59,5.96,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
ALURAB_CoRE,ALURAB,CoRE,Real,Grand Canonical Monte Carlo,1.05,866.3,911.2,0.45,0.51,6.83,3.73,0.54,5.95,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
IXOFEH_CoRE,IXOFEH,CoRE,Real,Grand Canonical Monte Carlo,1.03,1419.2,1457.8,0.62,0.61,7.09,6.67,0.54,5.95,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
XISVUR_CoRE,XISVUR,CoRE,Real,Grand Canonical Monte Carlo,1.17,834.1,979.8,0.54,0.52,5.04,3.95,0.48,5.95,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
GIZJOP_CoRE,GIZJOP,CoRE,Real,Grand Canonical Monte Carlo,1.19,0.0,0.0,0.36,0.49,5.32,2.78,0.48,5.94,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
LUSJEP_CoRE,LUSJEP,CoRE,Real,Grand Canonical Monte Carlo,1.19,889.7,1058.0,0.48,0.44,6.1,5.5,0.47,5.94,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
PEQHOK_CoRE,PEQHOK,CoRE,Real,Grand Canonical Monte Carlo,1.48,0.0,0.0,0.46,0.31,5.24,2.58,0.39,5.94,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
TOHPUC_CoRE,TOHPUC,CoRE,Real,Grand Canonical Monte Carlo,1.54,0.0,0.0,0.21,0.28,4.09,2.51,0.38,5.94,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
DICVIW_CoRE,DICVIW,CoRE,Real,Grand Canonical Monte Carlo,1.15,0.0,0.0,0.52,0.5,6.26,3.45,0.49,5.93,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
